country_id,trade_type,shipping_line_id,container_type,container_size,line_items,commodity,local_currency
bd771cfe-8ffa-4400-85ca-fccfc0ae33f1,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'CIFE', 'unit': 'per_container', 'lower_price': 53000, 'upper_price': 53000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 50000, 'upper_price': 50000, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'WHA', 'unit': 'per_container', 'lower_price': 9030, 'upper_price': 9030, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'PCR', 'unit': 'per_container', 'lower_price': 474, 'upper_price': 474, 'currency': 'KRW', 'slabs': [], 'remarks': [], 'location_id': None}]",,KRW
d9ad9e8c-f1a4-408a-b3fb-f83d12587aaf,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 34000, 'upper_price': 34000, 'currency': 'JPY', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'BL', 'unit': 'per_bl', 'lower_price': 4620, 'upper_price': 4620, 'currency': 'JPY', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'SC', 'unit': 'per_container', 'lower_price': 1900, 'upper_price': 1900, 'currency': 'JPY', 'slabs': [], 'remarks': [], 'location_id': None}]",,JPY
d9ad9e8c-f1a4-408a-b3fb-f83d12587aaf,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 49000, 'upper_price': 49000, 'currency': 'JPY', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'BL', 'unit': 'per_bl', 'lower_price': 4620, 'upper_price': 4620, 'currency': 'JPY', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'SC', 'unit': 'per_container', 'lower_price': 1900, 'upper_price': 1900, 'currency': 'JPY', 'slabs': [], 'remarks': [], 'location_id': None}]",,JPY
d9ad9e8c-f1a4-408a-b3fb-f83d12587aaf,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 34000, 'upper_price': 34000, 'currency': 'JPY', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 4620, 'upper_price': 4620, 'currency': 'JPY', 'slabs': [], 'remarks': [], 'location_id': None}]",,JPY
d9ad9e8c-f1a4-408a-b3fb-f83d12587aaf,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 49000, 'upper_price': 49000, 'currency': 'JPY', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 4620, 'upper_price': 4620, 'currency': 'JPY', 'slabs': [], 'remarks': [], 'location_id': None}]",,JPY
61a683f3-128b-4193-98f7-dd72f68db03d,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 2800, 'upper_price': 2800, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'BL', 'unit': 'per_bl', 'lower_price': 1000, 'upper_price': 1000, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}]",,THB
61a683f3-128b-4193-98f7-dd72f68db03d,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 4300, 'upper_price': 4300, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'BL', 'unit': 'per_bl', 'lower_price': 1000, 'upper_price': 1000, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'SC', 'unit': 'per_container', 'lower_price': 250, 'upper_price': 250, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}]",,THB
61a683f3-128b-4193-98f7-dd72f68db03d,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 2800, 'upper_price': 2800, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 1400, 'upper_price': 1400, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'CCI', 'unit': 'per_container', 'lower_price': 300, 'upper_price': 300, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}]",,THB
61a683f3-128b-4193-98f7-dd72f68db03d,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 4300, 'upper_price': 4300, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 1400, 'upper_price': 1400, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'CCI', 'unit': 'per_container', 'lower_price': 600, 'upper_price': 600, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}]",,THB
7552270b-caae-4715-acd5-1da117c5434f,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 485, 'upper_price': 485, 'currency': 'MYR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'SC', 'unit': 'per_container', 'lower_price': 250, 'upper_price': 250, 'currency': 'THB', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'WHA', 'unit': 'per_container', 'lower_price': 35, 'upper_price': 35, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}]",,MYR
7552270b-caae-4715-acd5-1da117c5434f,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 725, 'upper_price': 725, 'currency': 'MYR', 'slabs': [], 'remarks': [], 'location_id': None}]",,MYR
7552270b-caae-4715-acd5-1da117c5434f,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 485, 'upper_price': 485, 'currency': 'NZD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 240, 'upper_price': 240, 'currency': 'MYR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'AGC', 'unit': 'per_container', 'lower_price': 60, 'upper_price': 60, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'CIFE', 'unit': 'per_container', 'lower_price': 35, 'upper_price': 35, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}]",,MYR
7552270b-caae-4715-acd5-1da117c5434f,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'DRO', 'unit': 'per_container', 'lower_price': 800, 'upper_price': 800, 'currency': 'MYR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'THC', 'unit': 'per_container', 'lower_price': 725, 'upper_price': 725, 'currency': 'NZD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'CCI', 'unit': 'per_container', 'lower_price': 250, 'upper_price': 250, 'currency': 'ZAR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 240, 'upper_price': 240, 'currency': 'MYR', 'slabs': [], 'remarks': [], 'location_id': None}]",,MYR
6fb8b7b7-aaee-4178-806e-4b6139f198b9,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'ISPS', 'unit': 'per_container', 'lower_price': 60, 'upper_price': 60, 'currency': 'BRL', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'AGC', 'unit': 'per_container', 'lower_price': 36, 'upper_price': 36, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'POCH', 'unit': 'per_container', 'lower_price': 12, 'upper_price': 12, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'SC', 'unit': 'per_container', 'lower_price': 6, 'upper_price': 6, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}]",,UAH
6fb8b7b7-aaee-4178-806e-4b6139f198b9,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 340, 'upper_price': 340, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'AGC', 'unit': 'per_container', 'lower_price': 36, 'upper_price': 36, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'POCH', 'unit': 'per_container', 'lower_price': 12, 'upper_price': 12, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'SC', 'unit': 'per_container', 'lower_price': 6, 'upper_price': 6, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}]",,UAH
6fb8b7b7-aaee-4178-806e-4b6139f198b9,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 355, 'upper_price': 355, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 25, 'upper_price': 25, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'CIFE', 'unit': 'per_container', 'lower_price': 12, 'upper_price': 12, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}]",,UAH
6fb8b7b7-aaee-4178-806e-4b6139f198b9,import,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,40,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 408, 'upper_price': 408, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'AGC', 'unit': 'per_container', 'lower_price': 60, 'upper_price': 60, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'DO', 'unit': 'per_bl', 'lower_price': 25, 'upper_price': 25, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'CIFE', 'unit': 'per_container', 'lower_price': 12, 'upper_price': 12, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}]",,UAH
c0032d9a-4872-4ab0-9cea-369bbdb28604,export,b2f92d49-6180-43bd-93a5-4d64f5819a9b,standard,20,"[{'code': 'THC', 'unit': 'per_container', 'lower_price': 235, 'upper_price': 235, 'currency': 'EUR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'WHA', 'unit': 'per_container', 'lower_price': 41, 'upper_price': 41, 'currency': 'EUR', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'BL', 'unit': 'per_bl', 'lower_price': 25, 'upper_price': 25, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'ISPS', 'unit': 'per_container', 'lower_price': 10, 'upper_price': 10, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'LOLO', 'unit': 'per_container', 'lower_price': 10, 'upper_price': 10, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}, {'code': 'PCR', 'unit': 'per_container', 'lower_price': 10, 'upper_price': 10, 'currency': 'USD', 'slabs': [], 'remarks': [], 'location_id': None}]",,EUR
